latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-37.72177,149.03905,338.29,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.79,8.37,D,0
-37.72614,149.01233,337.87,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.85,27.59,D,0
-37.72686,149.00789,350.15,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,312.49,27.59,D,0
-37.72831,148.99905,353.04,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,303.22,51.74,D,0
-37.72903,148.99461,353.47,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,295.77,23.4,D,0
-37.7341,148.96353,338.07,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,287.4,13.18,D,0
-37.71157,149.10127,357.07,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,305.42,24.59,D,0
-37.71231,149.0968,357.09,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,303.06,24.59,D,0
-37.71304,149.09235,357.07,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,304.85,31.62,D,0
-37.71377,149.08791,357.09,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,303.79,31.62,D,0
-37.71449,149.08345,357.07,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,303.23,25.56,D,0
-37.71522,149.07903,357.09,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,303.3,25.56,D,0
-37.71595,149.07457,357.07,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,304.65,22.71,D,0
-37.71813,149.06126,357.09,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,299.31,18.06,D,0
-37.71959,149.05237,357.09,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,300.61,17.29,D,0
-37.72758,149.00346,313.53,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,320.32,51.74,D,0
-37.7271,149.00517,367,0.39,0.36,2020-01-04,400,N,VIIRS,h,2,326.42,46.2,D,0
-37.70831,149.12096,342.52,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.96,78.82,D,0
